#const numOfAtoms = 120.
atoms(1..120).
clauses(1..480).
neg(1,35).pos(1,9).neg(1,87).
neg(2,86).pos(2,37).pos(2,94).
neg(3,72).neg(3,65).pos(3,118).
neg(4,84).neg(4,41).neg(4,63).
pos(5,17).neg(5,75).pos(5,11).
pos(6,79).pos(6,63).pos(6,54).
pos(7,120).pos(7,119).neg(7,67).
neg(8,10).neg(8,70).neg(8,46).
pos(9,107).neg(9,64).pos(9,5).
pos(10,81).pos(10,10).neg(10,75).
neg(11,90).pos(11,56).neg(11,112).
pos(12,52).pos(12,120).neg(12,19).
neg(13,6).neg(13,68).pos(13,101).
pos(14,13).pos(14,114).neg(14,98).
neg(15,74).neg(15,10).neg(15,85).
pos(16,87).neg(16,101).pos(16,69).
neg(17,115).neg(17,67).neg(17,34).
pos(18,44).pos(18,104).pos(18,105).
neg(19,95).pos(19,34).pos(19,64).
pos(20,70).neg(20,61).neg(20,77).
pos(21,28).pos(21,63).neg(21,49).
pos(22,76).neg(22,115).neg(22,21).
neg(23,98).neg(23,58).pos(23,46).
neg(24,36).pos(24,22).pos(24,101).
pos(25,64).neg(25,86).neg(25,1).
neg(26,12).neg(26,69).neg(26,109).
pos(27,87).neg(27,63).neg(27,45).
neg(28,77).neg(28,19).pos(28,18).
neg(29,64).neg(29,65).neg(29,10).
pos(30,67).pos(30,99).neg(30,52).
neg(31,74).pos(31,80).pos(31,69).
pos(32,40).neg(32,13).pos(32,8).
neg(33,95).neg(33,112).pos(33,117).
pos(34,66).neg(34,99).neg(34,35).
neg(35,16).pos(35,90).neg(35,93).
pos(36,79).pos(36,33).neg(36,113).
neg(37,64).neg(37,116).neg(37,76).
neg(38,49).pos(38,73).pos(38,51).
neg(39,109).neg(39,70).neg(39,110).
pos(40,65).neg(40,22).neg(40,74).
pos(41,28).neg(41,39).pos(41,47).
pos(42,36).neg(42,98).pos(42,56).
pos(43,112).neg(43,99).pos(43,18).
pos(44,36).neg(44,88).pos(44,55).
pos(45,38).neg(45,15).pos(45,117).
neg(46,45).pos(46,111).pos(46,77).
pos(47,105).neg(47,11).pos(47,6).
neg(48,119).neg(48,33).neg(48,46).
neg(49,110).pos(49,48).neg(49,57).
neg(50,26).neg(50,77).neg(50,25).
neg(51,119).pos(51,90).pos(51,24).
neg(52,10).neg(52,21).neg(52,74).
neg(53,77).pos(53,7).pos(53,34).
neg(54,30).pos(54,4).pos(54,92).
pos(55,43).neg(55,18).pos(55,21).
neg(56,64).neg(56,95).pos(56,112).
neg(57,62).pos(57,109).neg(57,12).
pos(58,84).neg(58,7).neg(58,76).
neg(59,14).neg(59,54).pos(59,26).
pos(60,88).pos(60,71).pos(60,27).
neg(61,14).neg(61,70).pos(61,22).
pos(62,92).neg(62,40).neg(62,26).
neg(63,1).pos(63,100).neg(63,61).
pos(64,95).neg(64,72).neg(64,91).
pos(65,28).pos(65,95).neg(65,1).
neg(66,58).neg(66,39).pos(66,44).
neg(67,50).neg(67,74).pos(67,45).
pos(68,62).pos(68,83).pos(68,118).
pos(69,59).pos(69,60).neg(69,52).
pos(70,83).pos(70,73).pos(70,41).
pos(71,58).neg(71,70).pos(71,96).
