#const numOfAtoms = 120.
atoms(1..120).
clauses(1..498).
neg(1,93).neg(1,41).pos(1,102).
neg(2,49).neg(2,2).pos(2,86).
neg(3,80).neg(3,68).neg(3,57).
neg(4,63).pos(4,36).pos(4,55).
neg(5,107).neg(5,67).neg(5,58).
neg(6,114).neg(6,7).pos(6,39).
neg(7,74).neg(7,28).pos(7,56).
neg(8,54).neg(8,33).pos(8,32).
neg(9,94).pos(9,63).pos(9,79).
pos(10,11).pos(10,59).pos(10,99).
neg(11,96).pos(11,84).pos(11,110).
neg(12,78).pos(12,1).pos(12,84).
neg(13,30).neg(13,26).neg(13,11).
neg(14,82).neg(14,70).pos(14,78).
neg(15,110).neg(15,87).pos(15,48).
neg(16,115).neg(16,7).pos(16,56).
neg(17,74).neg(17,14).neg(17,4).
neg(18,71).neg(18,29).pos(18,65).
neg(19,109).neg(19,68).pos(19,98).
neg(20,20).pos(20,5).pos(20,107).
pos(21,48).pos(21,49).pos(21,84).
neg(22,97).neg(22,42).neg(22,8).
neg(23,86).pos(23,25).pos(23,93).
neg(24,96).neg(24,6).pos(24,109).
neg(25,51).pos(25,17).pos(25,82).
neg(26,86).pos(26,48).pos(26,107).
neg(27,111).neg(27,37).pos(27,83).
neg(28,55).pos(28,7).pos(28,33).
neg(29,82).neg(29,69).pos(29,110).
neg(30,24).neg(30,4).pos(30,46).
neg(31,119).neg(31,7).pos(31,54).
neg(32,109).pos(32,60).pos(32,108).
neg(33,77).neg(33,26).pos(33,52).
neg(34,58).pos(34,5).pos(34,79).
neg(35,93).pos(35,6).pos(35,85).
neg(36,10).pos(36,19).pos(36,42).
neg(37,35).neg(37,7).pos(37,86).
neg(38,53).neg(38,14).pos(38,82).
neg(39,116).neg(39,59).pos(39,103).
neg(40,38).neg(40,5).pos(40,18).
neg(41,53).pos(41,17).pos(41,108).
neg(42,82).pos(42,48).pos(42,69).
neg(43,92).neg(43,34).pos(43,26).
neg(44,96).pos(44,22).pos(44,51).
pos(45,9).pos(45,40).pos(45,54).
pos(46,31).pos(46,105).pos(46,116).
pos(47,28).pos(47,61).pos(47,94).
neg(48,114).neg(48,90).pos(48,28).
neg(49,67).neg(49,31).pos(49,89).
neg(50,24).pos(50,64).pos(50,67).
neg(51,73).pos(51,4).pos(51,69).
neg(52,111).pos(52,1).pos(52,13).
neg(53,85).neg(53,41).pos(53,113).
neg(54,28).neg(54,17).pos(54,61).
neg(55,41).pos(55,50).pos(55,96).
neg(56,45).pos(56,23).pos(56,56).
neg(57,114).pos(57,27).pos(57,50).
neg(58,118).neg(58,97).neg(58,96).
neg(59,50).neg(59,2).pos(59,29).
neg(60,101).neg(60,99).pos(60,9).
neg(61,90).neg(61,61).neg(61,33).
neg(62,69).pos(62,1).pos(62,103).
neg(63,100).neg(63,42).pos(63,30).
neg(64,99).neg(64,31).pos(64,98).
neg(65,115).neg(65,112).neg(65,3).
pos(66,68).pos(66,77).pos(66,103).
neg(67,3).pos(67,4).pos(67,51).
neg(68,88).neg(68,80).neg(68,32).
neg(69,97).neg(69,42).pos(69,109).
neg(70,46).neg(70,3).pos(70,33).
neg(71,97).neg(71,81).neg(71,47).
neg(72,59).neg(72,34).pos(72,15).
pos(73,25).pos(73,64).pos(73,85).
neg(74,101).pos(74,9).pos(74,66).
pos(75,2).pos(75,8).pos(75,68).
neg(76,100).pos(76,13).pos(76,64).
neg(77,88).pos(77,100).pos(77,120).
neg(78,32).pos(78,8).pos(78,94).
neg(79,49).pos(79,21).pos(79,56).
neg(80,16).pos(80,27).pos(80,86).
neg(81,58).neg(81,4).pos(81,34).
neg(82,35).pos(82,33).pos(82,67).
neg(83,84).pos(83,44).pos(83,81).
neg(84,110).pos(84,44).pos(84,95).
neg(85,74).pos(85,52).pos(85,104).
neg(86,13).pos(86,40).pos(86,85).
pos(87,5).pos(87,30).pos(87,76).
neg(88,95).neg(88,73).pos(88,63).
neg(89,37).pos(89,7).pos(89,105).
pos(90,33).pos(90,60).pos(90,91).
neg(91,51).neg(91,12).pos(91,86).
pos(92,42).pos(92,96).pos(92,97).
neg(93,38).pos(93,55).pos(93,79).
neg(94,62).pos(94,7).pos(94,27).
neg(95,55).pos(95,106).pos(95,119).
neg(96,38).neg(96,18).pos(96,113).
neg(97,87).pos(97,26).pos(97,103).
neg(98,45).neg(98,6).pos(98,53).
neg(99,31).neg(99,5).pos(99,69).
neg(100,118).neg(100,85).pos(100,61).
neg(101,76).pos(101,5).pos(101,38).
neg(102,104).neg(102,83).pos(102,97).
neg(103,94).neg(103,87).pos(103,31).
neg(104,78).pos(104,1).pos(104,35).
pos(105,7).pos(105,72).pos(105,92).
neg(106,85).pos(106,58).pos(106,72).
neg(107,92).pos(107,57).pos(107,79).
neg(108,18).neg(108,6).pos(108,80).
neg(109,66).pos(109,40).pos(109,117).
neg(110,16).pos(110,35).pos(110,117).
neg(111,50).neg(111,49).pos(111,63).
neg(112,29).pos(112,30).pos(112,111).
neg(113,113).neg(113,21).neg(113,15).
neg(114,68).neg(114,50).pos(114,25).
neg(115,63).neg(115,20).neg(115,1).
neg(116,53).pos(116,63).pos(116,85).
neg(117,38).neg(117,33).pos(117,65).
neg(118,114).pos(118,41).pos(118,52).
neg(119,100).pos(119,58).pos(119,59).
neg(120,50).pos(120,12).pos(120,89).
pos(121,77).pos(121,89).pos(121,93).
neg(122,36).neg(122,26).pos(122,76).
neg(123,42).neg(123,4).pos(123,59).
neg(124,113).neg(124,78).pos(124,66).
neg(125,19).pos(125,50).pos(125,74).
