#const numOfAtoms = 60.
atoms(1..60).
clauses(1..240).
neg(1,13).neg(1,41).pos(1,60).
neg(2,23).pos(2,55).pos(2,15).
pos(3,26).neg(3,54).pos(3,41).
neg(4,52).neg(4,43).pos(4,55).
neg(5,30).pos(5,25).neg(5,9).
neg(6,49).pos(6,16).pos(6,50).
neg(7,6).pos(7,52).pos(7,11).
pos(8,35).neg(8,50).pos(8,7).
neg(9,47).pos(9,43).pos(9,45).
neg(10,35).pos(10,16).pos(10,59).
neg(11,48).neg(11,5).neg(11,36).
neg(12,9).pos(12,37).pos(12,34).
neg(13,39).neg(13,26).pos(13,18).
neg(14,9).neg(14,53).neg(14,10).
pos(15,4).pos(15,3).neg(15,49).
neg(16,52).neg(16,29).neg(16,31).
pos(17,56).neg(17,37).neg(17,11).
pos(18,26).neg(18,27).pos(18,46).
pos(19,55).pos(19,60).neg(19,8).
neg(20,57).neg(20,2).neg(20,20).
pos(21,58).pos(21,4).pos(21,13).
neg(22,5).neg(22,6).neg(22,38).
pos(23,26).pos(23,4).neg(23,24).
neg(24,7).pos(24,48).pos(24,40).
neg(25,32).pos(25,3).pos(25,33).
pos(26,48).pos(26,23).pos(26,9).
pos(27,58).neg(27,52).pos(27,45).
pos(28,14).pos(28,46).neg(28,1).
neg(29,25).pos(29,18).pos(29,6).
neg(30,56).neg(30,46).neg(30,33).
neg(31,5).neg(31,17).neg(31,6).
pos(32,34).neg(32,22).neg(32,30).
neg(33,2).neg(33,9).pos(33,19).
pos(34,36).pos(34,1).neg(34,46).
pos(35,6).pos(35,41).neg(35,52).
neg(36,4).pos(36,52).neg(36,19).
pos(37,60).pos(37,43).pos(37,2).
pos(38,56).neg(38,13).pos(38,31).
pos(39,30).neg(39,19).pos(39,15).
neg(40,4).neg(40,3).neg(40,56).
pos(41,31).neg(41,55).neg(41,50).
pos(42,59).pos(42,35).neg(42,54).
pos(43,21).pos(43,26).neg(43,58).
neg(44,21).neg(44,39).pos(44,59).
neg(45,30).neg(45,57).neg(45,20).
neg(46,53).pos(46,16).pos(46,11).
pos(47,17).pos(47,49).neg(47,56).
pos(48,15).pos(48,42).neg(48,27).
neg(49,3).pos(49,26).pos(49,49).
neg(50,8).neg(50,15).pos(50,19).
pos(51,37).neg(51,22).pos(51,24).
pos(52,19).pos(52,9).pos(52,45).
neg(53,60).pos(53,29).pos(53,13).
pos(54,31).pos(54,29).neg(54,53).
neg(55,50).neg(55,15).neg(55,14).
neg(56,14).neg(56,51).neg(56,25).
pos(57,59).neg(57,29).neg(57,41).
neg(58,43).neg(58,50).neg(58,37).
pos(59,58).neg(59,60).pos(59,37).
neg(60,49).neg(60,58).pos(60,43).
neg(61,21).neg(61,54).neg(61,41).
pos(62,6).pos(62,55).pos(62,17).
pos(63,28).pos(63,26).pos(63,31).
neg(64,44).neg(64,28).neg(64,34).
pos(65,29).neg(65,47).pos(65,53).
pos(66,18).pos(66,15).pos(66,44).
pos(67,44).pos(67,41).neg(67,48).
neg(68,42).pos(68,41).neg(68,13).
pos(69,2).neg(69,57).pos(69,4).
pos(70,20).neg(70,36).pos(70,51).
neg(71,57).pos(71,40).neg(71,3).
pos(72,13).neg(72,35).pos(72,6).
pos(73,33).pos(73,36).pos(73,25).
pos(74,60).neg(74,56).neg(74,4).
pos(75,58).pos(75,29).pos(75,56).
neg(76,31).neg(76,8).pos(76,58).
pos(77,48).pos(77,44).neg(77,30).
