#const numOfAtoms = 120.
atoms(1..120).
clauses(1..480).
neg(1,103).neg(1,76).neg(1,68).
neg(2,112).pos(2,12).pos(2,55).
neg(3,31).neg(3,14).pos(3,35).
neg(4,95).neg(4,64).neg(4,24).
pos(5,30).pos(5,45).pos(5,100).
pos(6,11).pos(6,33).pos(6,110).
neg(7,118).neg(7,63).pos(7,64).
neg(8,83).pos(8,51).pos(8,119).
neg(9,89).pos(9,50).pos(9,70).
neg(10,28).neg(10,19).pos(10,18).
neg(11,25).pos(11,61).pos(11,118).
neg(12,96).neg(12,64).neg(12,38).
neg(13,97).pos(13,29).pos(13,101).
pos(14,24).pos(14,36).pos(14,47).
neg(15,90).neg(15,71).pos(15,66).
pos(16,8).pos(16,88).pos(16,119).
pos(17,31).pos(17,60).pos(17,113).
neg(18,38).neg(18,20).pos(18,13).
neg(19,35).neg(19,32).pos(19,40).
neg(20,31).neg(20,27).pos(20,105).
neg(21,55).pos(21,92).pos(21,117).
neg(22,39).pos(22,68).pos(22,74).
neg(23,85).neg(23,71).pos(23,20).
neg(24,72).pos(24,20).pos(24,43).
pos(25,80).pos(25,88).pos(25,91).
neg(26,82).neg(26,50).neg(26,19).
neg(27,66).neg(27,37).pos(27,101).
neg(28,65).pos(28,41).pos(28,104).
pos(29,7).pos(29,18).pos(29,55).
neg(30,112).pos(30,47).pos(30,79).
pos(31,33).pos(31,49).pos(31,54).
neg(32,71).pos(32,26).pos(32,65).
neg(33,12).pos(33,52).pos(33,120).
neg(34,68).neg(34,31).pos(34,106).
neg(35,50).neg(35,38).neg(35,31).
neg(36,40).pos(36,51).pos(36,81).
neg(37,108).pos(37,9).pos(37,30).
pos(38,31).pos(38,56).pos(38,79).
neg(39,101).neg(39,41).pos(39,28).
neg(40,107).neg(40,74).pos(40,80).
neg(41,76).pos(41,20).pos(41,34).
neg(42,11).pos(42,37).pos(42,92).
neg(43,10).pos(43,53).pos(43,75).
neg(44,107).neg(44,87).neg(44,54).
neg(45,77).neg(45,19).neg(45,5).
neg(46,114).neg(46,38).pos(46,41).
neg(47,103).neg(47,62).pos(47,94).
neg(48,63).neg(48,39).neg(48,35).
pos(49,95).pos(49,99).pos(49,115).
neg(50,36).neg(50,33).neg(50,16).
neg(51,118).pos(51,48).pos(51,112).
neg(52,28).pos(52,24).pos(52,38).
neg(53,85).pos(53,51).pos(53,113).
neg(54,59).neg(54,40).pos(54,81).
neg(55,81).neg(55,80).pos(55,25).
neg(56,65).pos(56,107).pos(56,111).
neg(57,101).neg(57,51).pos(57,28).
neg(58,51).neg(58,45).neg(58,35).
neg(59,111).neg(59,25).pos(59,60).
neg(60,115).neg(60,102).neg(60,61).
pos(61,10).pos(61,46).pos(61,85).
pos(62,37).pos(62,39).pos(62,72).
