#const numOfAtoms = 60.
atoms(1..60).
clauses(1..240).
neg(1,55).neg(1,10).pos(1,11).
pos(2,8).neg(2,1).neg(2,43).
neg(3,43).neg(3,14).neg(3,13).
neg(4,20).neg(4,5).neg(4,18).
pos(5,20).neg(5,18).neg(5,28).
pos(6,15).neg(6,6).neg(6,8).
neg(7,43).neg(7,20).pos(7,16).
neg(8,57).pos(8,35).neg(8,59).
pos(9,56).pos(9,60).neg(9,36).
pos(10,10).pos(10,23).pos(10,53).
neg(11,31).neg(11,56).neg(11,1).
pos(12,37).neg(12,16).neg(12,20).
neg(13,46).neg(13,20).neg(13,50).
neg(14,13).neg(14,59).neg(14,8).
pos(15,20).pos(15,31).neg(15,32).
pos(16,29).pos(16,15).pos(16,9).
neg(17,48).neg(17,19).neg(17,34).
pos(18,20).pos(18,18).pos(18,53).
pos(19,51).neg(19,16).neg(19,45).
neg(20,13).neg(20,1).pos(20,44).
pos(21,17).neg(21,32).pos(21,14).
pos(22,34).pos(22,18).neg(22,4).
pos(23,27).pos(23,35).neg(23,1).
neg(24,11).pos(24,38).neg(24,52).
neg(25,16).neg(25,50).neg(25,38).
pos(26,15).neg(26,27).neg(26,5).
pos(27,52).neg(27,57).neg(27,22).
pos(28,42).neg(28,59).neg(28,53).
neg(29,57).neg(29,34).pos(29,45).
pos(30,44).neg(30,26).neg(30,54).
neg(31,40).pos(31,54).pos(31,28).
pos(32,32).neg(32,29).pos(32,16).
pos(33,14).pos(33,51).pos(33,16).
pos(34,26).pos(34,35).neg(34,48).
pos(35,39).pos(35,25).pos(35,5).
pos(36,58).neg(36,27).pos(36,14).
pos(37,46).pos(37,11).pos(37,27).
pos(38,26).pos(38,34).pos(38,23).
neg(39,48).pos(39,34).pos(39,53).
pos(40,47).neg(40,24).neg(40,17).
neg(41,60).pos(41,14).pos(41,27).
pos(42,7).neg(42,2).pos(42,14).
pos(43,32).neg(43,33).neg(43,27).
neg(44,47).neg(44,53).pos(44,33).
neg(45,8).neg(45,27).pos(45,46).
pos(46,39).pos(46,1).neg(46,33).
neg(47,23).pos(47,60).pos(47,29).
pos(48,47).pos(48,12).neg(48,23).
neg(49,20).neg(49,6).neg(49,17).
pos(50,8).neg(50,21).pos(50,40).
pos(51,3).neg(51,33).neg(51,30).
neg(52,32).neg(52,24).neg(52,44).
neg(53,51).neg(53,21).neg(53,18).
pos(54,25).neg(54,10).pos(54,44).
pos(55,45).pos(55,1).neg(55,39).
neg(56,10).pos(56,36).neg(56,8).
pos(57,58).neg(57,19).neg(57,24).
pos(58,12).neg(58,60).neg(58,23).
neg(59,41).neg(59,34).pos(59,55).
neg(60,31).pos(60,10).neg(60,60).
neg(61,14).neg(61,42).pos(61,39).
pos(62,31).pos(62,11).pos(62,56).
pos(63,53).pos(63,3).pos(63,8).
pos(64,54).pos(64,25).neg(64,60).
neg(65,15).pos(65,14).pos(65,29).
neg(66,23).neg(66,48).neg(66,20).
neg(67,45).neg(67,6).neg(67,58).
pos(68,49).pos(68,42).pos(68,53).
pos(69,32).pos(69,46).neg(69,56).
pos(70,22).neg(70,13).neg(70,30).
pos(71,55).pos(71,38).neg(71,24).
pos(72,41).neg(72,23).neg(72,3).
pos(73,8).neg(73,37).pos(73,43).
pos(74,53).pos(74,40).pos(74,46).
neg(75,40).pos(75,3).neg(75,45).
neg(76,26).pos(76,8).pos(76,31).
pos(77,5).neg(77,22).neg(77,7).
neg(78,53).pos(78,6).pos(78,35).
pos(79,23).pos(79,40).pos(79,4).
neg(80,38).neg(80,60).pos(80,24).
pos(81,58).neg(81,27).pos(81,22).
pos(82,32).pos(82,30).pos(82,52).
pos(83,31).pos(83,55).pos(83,26).
pos(84,47).pos(84,28).neg(84,26).
pos(85,38).pos(85,43).pos(85,33).
neg(86,18).neg(86,35).neg(86,9).
pos(87,24).pos(87,41).neg(87,30).
neg(88,33).pos(88,26).neg(88,56).
pos(89,11).neg(89,24).neg(89,2).
neg(90,6).neg(90,48).pos(90,58).
neg(91,13).pos(91,27).pos(91,16).
neg(92,48).pos(92,21).neg(92,16).
pos(93,50).neg(93,36).pos(93,16).
neg(94,11).neg(94,12).pos(94,1).
pos(95,54).pos(95,38).neg(95,44).
pos(96,43).pos(96,14).pos(96,13).
neg(97,32).pos(97,28).neg(97,42).
pos(98,2).neg(98,7).pos(98,17).
neg(99,27).neg(99,30).pos(99,35).
pos(100,7).neg(100,21).pos(100,41).
pos(101,13).neg(101,50).pos(101,15).
neg(102,6).neg(102,7).neg(102,24).
pos(103,44).neg(103,6).neg(103,24).
neg(104,10).pos(104,43).pos(104,38).
neg(105,7).neg(105,38).pos(105,48).
neg(106,17).pos(106,14).neg(106,39).
neg(107,10).neg(107,59).pos(107,5).
neg(108,20).neg(108,40).pos(108,24).
pos(109,59).neg(109,51).neg(109,28).
pos(110,48).pos(110,41).neg(110,56).
pos(111,27).neg(111,14).neg(111,31).
pos(112,42).neg(112,1).neg(112,2).
neg(113,19).pos(113,40).neg(113,10).
neg(114,11).pos(114,55).neg(114,6).
neg(115,58).pos(115,37).pos(115,4).
pos(116,60).pos(116,12).pos(116,13).
neg(117,1).neg(117,37).neg(117,35).
pos(118,20).pos(118,42).pos(118,9).
neg(119,28).pos(119,41).pos(119,1).
pos(120,60).pos(120,45).pos(120,59).
neg(121,3).neg(121,26).neg(121,35).
pos(122,4).neg(122,27).neg(122,25).
neg(123,48).pos(123,37).pos(123,9).
neg(124,55).neg(124,37).neg(124,32).
pos(125,55).pos(125,29).neg(125,20).
pos(126,28).neg(126,7).pos(126,36).
neg(127,26).neg(127,53).pos(127,59).
pos(128,39).neg(128,54).pos(128,2).
neg(129,45).neg(129,46).neg(129,43).
pos(130,7).neg(130,11).pos(130,12).
pos(131,3).neg(131,50).pos(131,37).
pos(132,12).pos(132,16).neg(132,33).
neg(133,34).pos(133,7).neg(133,41).
pos(134,15).neg(134,53).neg(134,13).
pos(135,11).pos(135,9).pos(135,56).
pos(136,9).neg(136,4).neg(136,1).
neg(137,57).pos(137,30).neg(137,43).
pos(138,17).pos(138,4).pos(138,59).
pos(139,3).pos(139,30).pos(139,26).
pos(140,48).pos(140,42).neg(140,51).
neg(141,15).pos(141,4).neg(141,47).
neg(142,11).pos(142,25).neg(142,33).
pos(143,24).pos(143,41).neg(143,53).
pos(144,50).neg(144,37).neg(144,27).
pos(145,60).pos(145,39).pos(145,8).
neg(146,53).neg(146,35).pos(146,3).
neg(147,22).pos(147,2).neg(147,1).
pos(148,40).pos(148,31).pos(148,49).
neg(149,2).neg(149,36).pos(149,31).
pos(150,32).neg(150,13).pos(150,31).
neg(151,55).neg(151,12).neg(151,18).
pos(152,48).neg(152,49).neg(152,47).
neg(153,6).pos(153,7).pos(153,26).
pos(154,41).neg(154,16).pos(154,39).
pos(155,12).neg(155,18).pos(155,22).
neg(156,20).neg(156,2).neg(156,51).
neg(157,18).pos(157,49).neg(157,35).
neg(158,32).neg(158,33).pos(158,39).
neg(159,3).pos(159,32).pos(159,39).
pos(160,14).neg(160,4).neg(160,33).
neg(161,55).neg(161,51).pos(161,41).
