#const numOfAtoms = 60.
atoms(1..60).
clauses(1..249).
neg(1,27).neg(1,24).neg(1,20).
neg(2,59).neg(2,9).pos(2,4).
neg(3,34).pos(3,18).pos(3,49).
neg(4,30).neg(4,26).pos(4,34).
neg(5,57).neg(5,46).pos(5,4).
neg(6,58).pos(6,5).pos(6,49).
pos(7,29).pos(7,39).pos(7,56).
neg(8,52).neg(8,40).pos(8,11).
neg(9,58).neg(9,17).pos(9,41).
neg(10,52).neg(10,2).pos(10,14).
neg(11,7).pos(11,18).pos(11,31).
neg(12,14).pos(12,26).pos(12,43).
pos(13,31).pos(13,49).pos(13,50).
neg(14,14).neg(14,4).neg(14,3).
neg(15,45).pos(15,37).pos(15,38).
neg(16,59).neg(16,20).neg(16,3).
neg(17,51).pos(17,13).pos(17,25).
pos(18,6).pos(18,22).pos(18,28).
neg(19,20).neg(19,11).pos(19,42).
neg(20,32).neg(20,28).neg(20,11).
neg(21,45).neg(21,25).pos(21,57).
neg(22,13).neg(22,9).neg(22,6).
neg(23,39).neg(23,11).pos(23,31).
neg(24,30).pos(24,17).pos(24,48).
neg(25,46).neg(25,23).pos(25,53).
pos(26,24).pos(26,31).pos(26,51).
neg(27,52).neg(27,46).neg(27,35).
neg(28,41).pos(28,8).pos(28,44).
neg(29,42).neg(29,2).neg(29,1).
pos(30,15).pos(30,45).pos(30,59).
neg(31,56).neg(31,1).pos(31,5).
neg(32,4).pos(32,1).pos(32,9).
neg(33,38).pos(33,28).pos(33,56).
pos(34,19).pos(34,30).pos(34,40).
pos(35,14).pos(35,19).pos(35,27).
neg(36,55).neg(36,43).neg(36,17).
neg(37,5).pos(37,52).pos(37,53).
neg(38,57).pos(38,30).pos(38,33).
neg(39,45).pos(39,35).pos(39,55).
pos(40,13).pos(40,31).pos(40,46).
neg(41,50).pos(41,27).pos(41,34).
neg(42,18).pos(42,13).pos(42,14).
neg(43,14).pos(43,12).pos(43,35).
neg(44,36).pos(44,11).pos(44,55).
neg(45,55).neg(45,21).pos(45,48).
pos(46,9).pos(46,20).pos(46,23).
neg(47,28).neg(47,1).pos(47,38).
neg(48,20).pos(48,6).pos(48,47).
neg(49,56).neg(49,37).pos(49,17).
pos(50,1).pos(50,14).pos(50,34).
neg(51,38).pos(51,37).pos(51,47).
neg(52,59).neg(52,39).pos(52,56).
neg(53,36).neg(53,30).pos(53,44).
neg(54,13).pos(54,8).pos(54,24).
neg(55,38).neg(55,13).pos(55,51).
neg(56,52).neg(56,11).neg(56,3).
neg(57,36).neg(57,19).pos(57,34).
neg(58,54).pos(58,2).pos(58,45).
neg(59,38).neg(59,29).neg(59,28).
neg(60,59).neg(60,46).neg(60,37).
neg(61,41).neg(61,16).pos(61,19).
neg(62,56).neg(62,14).pos(62,16).
pos(63,7).pos(63,35).pos(63,42).
neg(64,29).pos(64,38).pos(64,39).
neg(65,42).neg(65,13).pos(65,1).
neg(66,22).neg(66,8).pos(66,31).
neg(67,46).neg(67,9).pos(67,54).
pos(68,15).pos(68,17).pos(68,34).
neg(69,43).neg(69,33).neg(69,6).
neg(70,53).neg(70,45).neg(70,24).
neg(71,42).neg(71,28).neg(71,11).
neg(72,25).pos(72,3).pos(72,30).
neg(73,24).neg(73,17).pos(73,33).
neg(74,2).pos(74,30).pos(74,32).
neg(75,45).neg(75,10).pos(75,57).
neg(76,43).pos(76,22).pos(76,53).
neg(77,39).pos(77,31).pos(77,41).
pos(78,7).pos(78,26).pos(78,43).
neg(79,36).neg(79,28).pos(79,41).
neg(80,56).pos(80,7).pos(80,51).
neg(81,34).neg(81,4).pos(81,7).
neg(82,18).pos(82,38).pos(82,46).
neg(83,29).neg(83,9).pos(83,1).
neg(84,29).neg(84,2).pos(84,13).
neg(85,18).pos(85,12).pos(85,46).
neg(86,56).pos(86,4).pos(86,60).
pos(87,21).pos(87,43).pos(87,60).
neg(88,35).neg(88,10).pos(88,19).
neg(89,11).pos(89,3).pos(89,15).
neg(90,49).pos(90,31).pos(90,54).
neg(91,42).neg(91,39).pos(91,13).
neg(92,41).pos(92,18).pos(92,42).
neg(93,59).neg(93,10).neg(93,6).
neg(94,42).pos(94,22).pos(94,51).
neg(95,49).pos(95,28).pos(95,51).
neg(96,47).neg(96,11).pos(96,48).
neg(97,27).neg(97,19).pos(97,35).
pos(98,18).pos(98,25).pos(98,57).
neg(99,16).neg(99,13).pos(99,34).
pos(100,3).pos(100,30).pos(100,31).
neg(101,36).neg(101,16).pos(101,21).
neg(102,32).neg(102,25).pos(102,13).
neg(103,42).neg(103,9).pos(103,28).
neg(104,39).neg(104,34).pos(104,23).
pos(105,1).pos(105,34).pos(105,53).
neg(106,37).pos(106,1).pos(106,23).
neg(107,37).neg(107,10).pos(107,47).
neg(108,15).pos(108,35).pos(108,44).
neg(109,2).pos(109,20).pos(109,55).
neg(110,21).pos(110,9).pos(110,25).
neg(111,35).pos(111,21).pos(111,28).
neg(112,51).neg(112,5).pos(112,46).
neg(113,47).neg(113,40).neg(113,8).
neg(114,50).neg(114,43).pos(114,7).
neg(115,56).pos(115,5).pos(115,41).
neg(116,21).pos(116,16).pos(116,34).
neg(117,52).neg(117,9).pos(117,18).
neg(118,18).pos(118,1).pos(118,52).
pos(119,25).pos(119,37).pos(119,42).
neg(120,48).neg(120,34).pos(120,50).
pos(121,9).pos(121,13).pos(121,46).
neg(122,58).neg(122,57).neg(122,26).
neg(123,54).pos(123,4).pos(123,23).
neg(124,50).pos(124,4).pos(124,8).
neg(125,23).pos(125,14).pos(125,30).
neg(126,53).neg(126,50).neg(126,2).
neg(127,60).pos(127,42).pos(127,50).
neg(128,15).pos(128,21).pos(128,59).
neg(129,7).pos(129,9).pos(129,18).
neg(130,20).neg(130,18).pos(130,25).
pos(131,13).pos(131,20).pos(131,22).
neg(132,49).pos(132,4).pos(132,40).
pos(133,8).pos(133,12).pos(133,32).
neg(134,30).pos(134,31).pos(134,35).
neg(135,54).neg(135,35).pos(135,53).
neg(136,54).neg(136,23).pos(136,13).
neg(137,10).neg(137,3).pos(137,54).
neg(138,46).neg(138,33).neg(138,28).
neg(139,46).pos(139,10).pos(139,34).
neg(140,53).neg(140,38).pos(140,19).
neg(141,53).neg(141,28).pos(141,7).
pos(142,40).pos(142,48).pos(142,49).
neg(143,59).neg(143,41).pos(143,35).
neg(144,8).pos(144,43).pos(144,55).
neg(145,30).pos(145,9).pos(145,57).
neg(146,40).neg(146,26).neg(146,19).
neg(147,58).neg(147,48).neg(147,44).
neg(148,15).neg(148,6).pos(148,52).
neg(149,3).pos(149,32).pos(149,47).
neg(150,57).pos(150,1).pos(150,49).
neg(151,40).pos(151,12).pos(151,60).
neg(152,50).neg(152,2).pos(152,26).
neg(153,47).neg(153,5).pos(153,10).
neg(154,48).neg(154,29).neg(154,23).
neg(155,26).pos(155,3).pos(155,42).
neg(156,44).neg(156,25).neg(156,23).
neg(157,54).neg(157,51).neg(157,36).
neg(158,44).neg(158,41).pos(158,7).
neg(159,27).neg(159,10).pos(159,33).
neg(160,47).neg(160,29).pos(160,41).
neg(161,52).neg(161,41).neg(161,10).
neg(162,12).pos(162,25).pos(162,40).
pos(163,7).pos(163,26).pos(163,58).
neg(164,54).neg(164,24).pos(164,47).
pos(165,16).pos(165,25).pos(165,53).
neg(166,48).neg(166,6).pos(166,47).
neg(167,29).pos(167,12).pos(167,60).
neg(168,59).neg(168,48).pos(168,55).
neg(169,39).neg(169,25).pos(169,15).
neg(170,51).pos(170,4).pos(170,12).
neg(171,27).pos(171,7).pos(171,51).
neg(172,45).neg(172,40).neg(172,35).
neg(173,42).neg(173,17).neg(173,10).
neg(174,43).pos(174,15).pos(174,46).
pos(175,15).pos(175,30).pos(175,42).
neg(176,44).neg(176,1).pos(176,45).
neg(177,47).pos(177,55).pos(177,60).
neg(178,60).neg(178,39).pos(178,37).
pos(179,2).pos(179,10).pos(179,19).
neg(180,34).neg(180,31).pos(180,4).
neg(181,45).neg(181,39).pos(181,27).
pos(182,4).pos(182,13).pos(182,15).
neg(183,53).pos(183,5).pos(183,48).
pos(184,31).pos(184,32).pos(184,41).
neg(185,49).pos(185,32).pos(185,47).
neg(186,31).pos(186,46).pos(186,49).
neg(187,60).pos(187,23).pos(187,44).
neg(188,11).pos(188,22).pos(188,58).
neg(189,40).pos(189,1).pos(189,54).
neg(190,22).pos(190,27).pos(190,42).
neg(191,22).pos(191,15).pos(191,17).
neg(192,49).pos(192,12).pos(192,43).
neg(193,40).neg(193,31).neg(193,24).
neg(194,60).neg(194,39).neg(194,10).
neg(195,33).pos(195,42).pos(195,47).
neg(196,30).neg(196,26).neg(196,13).
neg(197,49).pos(197,5).pos(197,43).
neg(198,26).neg(198,24).pos(198,21).
neg(199,19).neg(199,4).pos(199,26).
neg(200,20).pos(200,46).pos(200,54).
pos(201,3).pos(201,30).pos(201,57).
neg(202,34).neg(202,18).pos(202,35).
pos(203,12).pos(203,31).pos(203,55).
neg(204,50).neg(204,10).pos(204,54).
neg(205,12).pos(205,6).pos(205,51).
neg(206,52).neg(206,36).pos(206,28).
neg(207,25).pos(207,24).pos(207,31).
neg(208,27).pos(208,31).pos(208,51).
neg(209,35).neg(209,2).pos(209,7).
neg(210,26).neg(210,10).neg(210,2).
neg(211,27).neg(211,26).pos(211,13).
neg(212,16).pos(212,12).pos(212,51).
neg(213,27).pos(213,34).pos(213,35).
neg(214,56).neg(214,46).pos(214,23).
neg(215,30).neg(215,1).pos(215,58).
neg(216,39).neg(216,27).pos(216,48).
neg(217,55).neg(217,28).pos(217,49).
neg(218,50).neg(218,45).pos(218,27).
neg(219,56).neg(219,54).neg(219,32).
neg(220,32).neg(220,22).pos(220,43).
pos(221,35).pos(221,36).pos(221,40).
neg(222,55).neg(222,16).pos(222,41).
neg(223,25).pos(223,9).pos(223,23).
pos(224,7).pos(224,47).pos(224,58).
neg(225,58).pos(225,28).pos(225,56).
neg(226,47).neg(226,46).pos(226,40).
neg(227,35).neg(227,23).pos(227,7).
neg(228,21).pos(228,1).pos(228,14).
neg(229,49).neg(229,24).neg(229,2).
neg(230,58).neg(230,4).pos(230,12).
neg(231,54).neg(231,46).neg(231,8).
neg(232,54).neg(232,40).neg(232,36).
neg(233,53).neg(233,2).pos(233,29).
neg(234,30).neg(234,26).neg(234,16).
pos(235,4).pos(235,55).pos(235,58).
neg(236,53).neg(236,4).pos(236,25).
neg(237,58).neg(237,31).pos(237,6).
pos(238,25).pos(238,29).pos(238,48).
neg(239,14).neg(239,12).pos(239,11).
neg(240,49).pos(240,33).pos(240,60).
pos(241,15).pos(241,28).pos(241,45).
neg(242,17).neg(242,10).neg(242,1).
neg(243,54).neg(243,2).pos(243,5).
neg(244,51).neg(244,15).pos(244,5).
neg(245,60).neg(245,47).pos(245,30).
neg(246,51).neg(246,35).pos(246,39).
pos(247,3).pos(247,50).pos(247,54).
neg(248,45).pos(248,8).pos(248,17).
